Proof	Picture	Message
DexQuery.001.bmp	BeltsSupine.bmp	***  PREPARING TO START THE TASK  ***\nYou should be lying down with the restraint belts fastened.
DexQuery.002.bmp	BeltsSeated.bmp	***  PREPARING TO START THE TASK  ***\nYou should be sitting with the restraint belts fastened.
DexQuery.003.bmp	blank.bmp	*** Mass Selection Hardware Tests ***\nPress OK to start.
DexQuery.004.bmp	AllTgtOff.bmp	***** Target LED Hardware Tests  ****\nVerify that all targets are OFF.\nPress OK to continue.
DexQuery.005.bmp	REMOVE_HAND.bmp	*********     Slip Test     *********\nRelease manipulandum and press OK.
DexQuery.006.bmp	REMOVE_HAND.bmp	********* Centered Grip Test *********\nRelease manipulandum and press OK.
DexQuery.007.bmp	ok.bmp	Acquisition completed.
DexQuery.008.bmp	info.bmp	Alignment completed. Checking alignment validity for 20, 10, 5, 3, 2, 1 mm.
DexQuery.009.bmp	CalibrateSeated.bmp	Check Workspace Tablet installed for SEATED operation.
DexQuery.010.bmp	CalibrateSupine.bmp	Check Workspace Tablet installed for SUPINE operation.
DexQuery.011.bmp	ManipInChair.bmp	Check that the 'VISIBLE' status indicator on the Workspace Tablet screen is green.
DexQuery.012.bmp	headphones.bmp	Don the headphones and connect to the GRIP hardware.
DexQuery.013.bmp	CloseRetainer.bmp	Fold down the retainer and lock in place.
DexQuery.014.bmp	info.bmp	Force/torque baseline acquired.
DexQuery.015.bmp	info.bmp	If no other messages, a centered grip was detected.
DexQuery.016.bmp	confirm.bmp	If open, close the locker.
DexQuery.017.bmp	BeltsSupine.bmp	Lie down on the supine box, attach the waist, thigh and shoulder straps and attach the wrist box to your right wrist.
DexQuery.018.bmp	BarLeft.bmp	Make sure that the Target Mast\nis in the Standby (left side) position.
DexQuery.019.bmp	RetainerManip.bmp	Move the manipulandum to the retainer on the Workspace Tablet and lock in place (push pins).
DexQuery.020.bmp	coef_frict.bmp	On this trial you will squeeze FIRMLY.
DexQuery.021.bmp	coef_frict.bmp	On this trial you will squeeze LIGHTLY.
DexQuery.022.bmp	coef_frict.bmp	On this trial you will squeeze MODERATELY.
DexQuery.023.bmp	ManipInChair.bmp	Place manipulandum in seat locker holder. Check that 'VISIBLE' status indicator on the Workspace Tablet screen is green .
DexQuery.024.bmp	TappingFolded.bmp	Place the Target Mast in Socket N (right side) with tapping surfaces folded.
DexQuery.025.bmp	TappingFolded.bmp	Place the Target Mast in Socket N (right side) with the tapping surfaces folded.
DexQuery.026.bmp	TappingDeployed.bmp	Place the Target Mast in Socket N (right side) with the tapping surfaces open.
DexQuery.027.bmp	BarLeft.bmp	Place the Target Mast in the Standby socket (left side) with tapping surfaces folded.
DexQuery.028.bmp	PlaceMass.bmp	Place the maniplandum and mass in the empty cradle and slide to lock. Remove hand and press <OK>.
DexQuery.029.bmp	HandsOffCradle.bmp	Place the manipulandum in any mass/cradle. Leave mass and and manipulandum in cradle and remove hand.
DexQuery.030.bmp	ManipInChair.bmp	Place the manipulandum in the holder as shown. Check that locker door is fully open.
DexQuery.031.bmp	RetainerManip.bmp	Position manipulandum in retainer, lock by pressing locking pins and remove fingers.
DexQuery.032.bmp	go.bmp	Ready to record for 30 seconds.\nPress <OK> to start.
DexQuery.033.bmp	go.bmp	Ready to record for 5 seconds.\nPress <OK> to start.
DexQuery.034.bmp	REMOVE_HAND.bmp	Remove hand for sensor offset measurement. Press <OK> to start.
DexQuery.035.bmp	REMOVE_HAND.bmp	Remove hand from manipulandum and press <OK>.
DexQuery.036.bmp	REMOVE_HAND.bmp	Remove hand from the manipulandum and press <OK> to start.
DexQuery.037.bmp	HandsOffCradle.bmp	Remove hand, leaving manipulandum and mass in cradle.
DexQuery.038.bmp	PlaceMassNoSlide.bmp	Remove manipulandum from retainer, place inside a mass in any cradle.
DexQuery.039.bmp	ok.bmp	Session completed.\nPress <OK> and go back to PODF.
DexQuery.040.bmp	InHand.bmp	TASK PREVIEW (1/3): (Don't start!)\nYou will first pick up the manipulandum at the center between thumb and forefinger.
DexQuery.041.bmp	InHand.bmp	TASK PREVIEW (1/4): (Don't start!)\nYou will first pick up the manipulandum at the center between thumb and forefinger.
DexQuery.042.bmp	coef_frict.bmp	TASK PREVIEW (1/4): (Don't start!)\nYou will first pinch the manipulandum at the center between thumb and forefinger.
DexQuery.043.bmp	InHand.bmp	TASK PREVIEW (1/5): (Don't start!)\nYou will first pick up the manipulandum at the center between thumb and forefinger.
DexQuery.044.bmp	InHand.bmp	TASK PREVIEW (1/6): (Don't start!)\nYou will first pick up the manipulandum at the center between thumb and forefinger.
DexQuery.045.bmp	MvToBlkV.bmp	TASK PREVIEW (2/3): (Don't start!)\nYou will move the manipulandum to the right of the blinking Target LED.
DexQuery.046.bmp	coef_frict.bmp	TASK PREVIEW (2/4): (Don't start!)\nSqueeze according to the instructions that you will receive (firmly, moderately, lightly).
DexQuery.047.bmp	MvToBlkV.bmp	TASK PREVIEW (2/4): (Don't start!)\nYou will move the manipulandum to the right of the blinking Target LED.
DexQuery.048.bmp	MvToBlkH.bmp	TASK PREVIEW (2/5): (Don't start!)\nYou will move the manipulandum to the right of the blinking Target LED.
DexQuery.049.bmp	MvToBlkV.bmp	TASK PREVIEW (2/5): (Don't start!)\nYou will move the manipulandum to the right of the blinking Target LED.
DexQuery.050.bmp	MvToBlkH.bmp	TASK PREVIEW (2/6): (Don't start!)\nTo start, you will move the manipulandum to the blinking Target LED.
DexQuery.051.bmp	MvToBlkV.bmp	TASK PREVIEW (2/6): (Don't start!)\nTo start, you will move the manipulandum to the blinking Target LED.
DexQuery.052.bmp	Collision.bmp	TASK PREVIEW (3/3): (Don't start!)\nYou will then tap up or down according to the beeps and targets, then return to the center.
DexQuery.053.bmp	coef_frict_osc.bmp	TASK PREVIEW (3/4): (Don't start!)\nWhen you hear the beep, rub the fingers up and down on the manipulandum.
DexQuery.054.bmp	OscillateV.bmp	TASK PREVIEW (3/4): (Don't start!)\nYou will then oscillate between the lit targets, one full cycle per beep.
DexQuery.055.bmp	TargetedH.bmp	TASK PREVIEW (3/5): (Don't start!)\nYou will move quickly and accurately to each lighted Target LED.
DexQuery.056.bmp	TargetedV.bmp	TASK PREVIEW (3/5): (Don't start!)\nYou will move quickly and accurately to each lighted Target LED.
DexQuery.057.bmp	MvToBlkV.bmp	TASK PREVIEW (3/6): (Don't start!)\nPlace manipulandum to the right of Target Mast and align center with each target.
DexQuery.058.bmp	MvToBlkH.bmp	TASK PREVIEW (3/6): (Don't start!)\nPlace manipulandum to the right of Workspace Tablet and align center with each target.
DexQuery.059.bmp	OscillateV.bmp	TASK PREVIEW (4/4): (Don't start!)\nWhen the beeps will stop, you should continue the oscillations.
DexQuery.060.bmp	rub.bmp	TASK PREVIEW (4/4): (Don't start!)\nYou will rub for 15 seconds. Move from center to edge and back. Try to maintain pinch force.
DexQuery.061.bmp	TargetedH.bmp	TASK PREVIEW (4/5): (Don't start!)\nThe targets will be one of the 4 currently lit Target LEDs.
DexQuery.062.bmp	TargetedV.bmp	TASK PREVIEW (4/5): (Don't start!)\nThe targets will be one of the 4 currently lit Target LEDs.
DexQuery.063.bmp	DiscreteH.bmp	TASK PREVIEW (4/6): (Don't start!)\nOn each beep, you will move quickly and accurately to the other lit Target LED.
DexQuery.064.bmp	DiscreteV.bmp	TASK PREVIEW (4/6): (Don't start!)\nOn each beep, you will move quickly and accurately to the other lit Target LED.
DexQuery.065.bmp	MvToBlkH.bmp	TASK PREVIEW (5/5): (Don't start!)\nBe sure to hold the manipuladum upright and to the right of each Target LED.
DexQuery.066.bmp	MvToBlkV.bmp	TASK PREVIEW (5/5): (Don't start!)\nBe sure to hold the manipuladum upright and to the right of each Target LED.
DexQuery.067.bmp	EyesOpenClosed.bmp	TASK PREVIEW (5/6): (Don't start!)\nBefore each trial, you will be instructed to keep your eyes OPEN or CLOSED.
DexQuery.068.bmp	info.bmp	TASK PREVIEW (6/6): (Don't start!)\nRemember to wait for each beep and come to a full stop at each Target LED.
